Spectrum ID	Database ID	InChI Key	InChI Code	Solvent	Sample pH	Frequency	Atom number (pretend it's the corresponding InChI number for now)	Shift (ppm)
1834	HMDB02005	QEFRNWWLZKMPFJ-UHFFFAOYSA-N	InChI=1S/C5H11NO3S/c1-10(9)3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)	Water	7.00	500 MHz	4	2.31
1834	HMDB02005	QEFRNWWLZKMPFJ-UHFFFAOYSA-N	InChI=1S/C5H11NO3S/c1-10(9)3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)	Water	7.00	500 MHz	7	2.74
1834	HMDB02005	QEFRNWWLZKMPFJ-UHFFFAOYSA-N	InChI=1S/C5H11NO3S/c1-10(9)3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)	Water	7.00	500 MHz	3	3.02
1834	HMDB02005	QEFRNWWLZKMPFJ-UHFFFAOYSA-N	InChI=1S/C5H11NO3S/c1-10(9)3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)	Water	7.00	500 MHz	5	3.87
1551	HMDB00808	WPSSBBPLVMTKRN-UHFFFAOYSA-N	InChI=1S/C6H11NO3/c1-2-3-5(8)7-4-6(9)10/h2-4H2,1H3,(H,7,8)(H,9,10)	Water	7.00	500 MHz	10	0.91
1551	HMDB00808	WPSSBBPLVMTKRN-UHFFFAOYSA-N	InChI=1S/C6H11NO3/c1-2-3-5(8)7-4-6(9)10/h2-4H2,1H3,(H,7,8)(H,9,10)	Water	7.00	500 MHz	9	1.61
1551	HMDB00808	WPSSBBPLVMTKRN-UHFFFAOYSA-N	InChI=1S/C6H11NO3/c1-2-3-5(8)7-4-6(9)10/h2-4H2,1H3,(H,7,8)(H,9,10)	Water	7.00	500 MHz	8	2.28
1551	HMDB00808	WPSSBBPLVMTKRN-UHFFFAOYSA-N	InChI=1S/C6H11NO3/c1-2-3-5(8)7-4-6(9)10/h2-4H2,1H3,(H,7,8)(H,9,10)	Water	7.00	500 MHz	4	3.94
1551	HMDB00808	WPSSBBPLVMTKRN-UHFFFAOYSA-N	InChI=1S/C6H11NO3/c1-2-3-5(8)7-4-6(9)10/h2-4H2,1H3,(H,7,8)(H,9,10)	Water	7.00	500 MHz	10	3.94
1093	HMDB00122	WQZGKKKJIJFFOK-GASJEMHNSA-N	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1	Water	7.00	600 MHz	3	3.233
1093	HMDB00122	WQZGKKKJIJFFOK-GASJEMHNSA-N	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1	Water	7.00	600 MHz	5	3.398
1093	HMDB00122	WQZGKKKJIJFFOK-GASJEMHNSA-N	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1	Water	7.00	600 MHz	6	3.458
1093	HMDB00122	WQZGKKKJIJFFOK-GASJEMHNSA-N	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1	Water	7.00	600 MHz	3	3.524
1093	HMDB00122	WQZGKKKJIJFFOK-GASJEMHNSA-N	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1	Water	7.00	600 MHz	4	3.728
1093	HMDB00122	WQZGKKKJIJFFOK-GASJEMHNSA-N	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1	Water	7.00	600 MHz	11	3.728
1093	HMDB00122	WQZGKKKJIJFFOK-GASJEMHNSA-N	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1	Water	7.00	600 MHz	11	3.824
1093	HMDB00122	WQZGKKKJIJFFOK-GASJEMHNSA-N	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1	Water	7.00	600 MHz	6	3.824
1093	HMDB00122	WQZGKKKJIJFFOK-GASJEMHNSA-N	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1	Water	7.00	600 MHz	11	3.889
1093	HMDB00122	WQZGKKKJIJFFOK-GASJEMHNSA-N	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1	Water	7.00	600 MHz	2	4.634
1093	HMDB00122	WQZGKKKJIJFFOK-GASJEMHNSA-N	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1	Water	7.00	600 MHz	2	5.223
1132	HMDB00168	DCXYFEDJOCDNAF-REOHCLBHSA-N	InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1	Water	7.00	500 MHz	4	4.0
1132	HMDB00168	DCXYFEDJOCDNAF-REOHCLBHSA-N	InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1	Water	7.00	500 MHz	6	2.94
1132	HMDB00168	DCXYFEDJOCDNAF-REOHCLBHSA-N	InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1	Water	7.00	500 MHz	6	2.84
1850	HMDB02092	LVHBHZANLOWSRM-UHFFFAOYSA-N	InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h1-2H2,(H,6,7)(H,8,9)	Water	7.00	500 MHz	4	3.4
1850	HMDB02092	LVHBHZANLOWSRM-UHFFFAOYSA-N	InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h1-2H2,(H,6,7)(H,8,9)	Water	7.00	500 MHz	8	5.85
1850	HMDB02092	LVHBHZANLOWSRM-UHFFFAOYSA-N	InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h1-2H2,(H,6,7)(H,8,9)	Water	7.00	500 MHz	8	6.33
1605	HMDB00925	UYPYRKYUKCHHIB-UHFFFAOYSA-N	InChI=1S/C3H9NO/c1-4(2,3)5/h1-3H3	Water	7.00	500 MHz	3	3.25
1605	HMDB00925	UYPYRKYUKCHHIB-UHFFFAOYSA-N	InChI=1S/C3H9NO/c1-4(2,3)5/h1-3H3	Water	7.00	500 MHz	1	3.25
1605	HMDB00925	UYPYRKYUKCHHIB-UHFFFAOYSA-N	InChI=1S/C3H9NO/c1-4(2,3)5/h1-3H3	Water	7.00	500 MHz	4	3.25
1409	HMDB00535	FUZZWVXGSFPDMH-UHFFFAOYSA-N	InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)	Water	7.00	500 MHz	8	0.86
1409	HMDB00535	FUZZWVXGSFPDMH-UHFFFAOYSA-N	InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)	Water	7.00	500 MHz	7	1.28
1409	HMDB00535	FUZZWVXGSFPDMH-UHFFFAOYSA-N	InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)	Water	7.00	500 MHz	6	1.28
1409	HMDB00535	FUZZWVXGSFPDMH-UHFFFAOYSA-N	InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)	Water	7.00	500 MHz	5	1.54
1409	HMDB00535	FUZZWVXGSFPDMH-UHFFFAOYSA-N	InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)	Water	7.00	500 MHz	4	2.16
1482	HMDB00694	HWXBTNAVRSUOJR-VKHMYHEASA-N	InChI=1S/C5H8O5/c6-3(5(9)10)1-2-4(7)8/h3,6H,1-2H2,(H,7,8)(H,9,10)/t3-/m0/s1	Water	7.00	500 MHz	6	1.83
1482	HMDB00694	HWXBTNAVRSUOJR-VKHMYHEASA-N	InChI=1S/C5H8O5/c6-3(5(9)10)1-2-4(7)8/h3,6H,1-2H2,(H,7,8)(H,9,10)/t3-/m0/s1	Water	7.00	500 MHz	6	1.98
1482	HMDB00694	HWXBTNAVRSUOJR-VKHMYHEASA-N	InChI=1S/C5H8O5/c6-3(5(9)10)1-2-4(7)8/h3,6H,1-2H2,(H,7,8)(H,9,10)/t3-/m0/s1	Water	7.00	500 MHz	7	2.25
1482	HMDB00694	HWXBTNAVRSUOJR-VKHMYHEASA-N	InChI=1S/C5H8O5/c6-3(5(9)10)1-2-4(7)8/h3,6H,1-2H2,(H,7,8)(H,9,10)/t3-/m0/s1	Water	7.00	500 MHz	4	4.01
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1	Water	7.00	500 MHz	52	2.32
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1	Water	7.00	500 MHz	53	2.39
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1	Water	7.00	500 MHz	31	3.89
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1	Water	7.00	500 MHz	26	4.06
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1	Water	7.00	500 MHz	25	4.33
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1	Water	7.00	500 MHz	17	4.33
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1	Water	7.00	500 MHz	5	4.33
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1	Water	7.00	500 MHz	33	4.33
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1	Water	7.00	500 MHz	4	4.46
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1	Water	7.00	500 MHz	3	4.5
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1	Water	7.00	500 MHz	2	5.82
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1	Water	7.00	500 MHz	46	7.54
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1	Water	7.00	500 MHz	49	7.6
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1	Water	7.00	500 MHz	12	7.85
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1	Water	7.00	500 MHz	7	8.3
2057	HMDB11749	XUWHAWMETYGRKB-UHFFFAOYSA-N	InChI=1S/C5H9NO/c7-5-3-1-2-4-6-5/h1-4H2,(H,6,7)	Water	7.00	500 MHz	3	1.75
2057	HMDB11749	XUWHAWMETYGRKB-UHFFFAOYSA-N	InChI=1S/C5H9NO/c7-5-3-1-2-4-6-5/h1-4H2,(H,6,7)	Water	7.00	500 MHz	4	1.75
2057	HMDB11749	XUWHAWMETYGRKB-UHFFFAOYSA-N	InChI=1S/C5H9NO/c7-5-3-1-2-4-6-5/h1-4H2,(H,6,7)	Water	7.00	500 MHz	5	2.32
2057	HMDB11749	XUWHAWMETYGRKB-UHFFFAOYSA-N	InChI=1S/C5H9NO/c7-5-3-1-2-4-6-5/h1-4H2,(H,6,7)	Water	7.00	500 MHz	2	3.28
