Spectrum ID	Database ID	InChi Key	Solvent	Sample pH	Frequency	Atom number (pretend it's the corresponding InChI number for now)	Shift (ppm)
1834	HMDB02005	QEFRNWWLZKMPFJ-UHFFFAOYSA-N	Water	7	500 MHz	4	2.31
1834	HMDB02005	QEFRNWWLZKMPFJ-UHFFFAOYSA-N	Water	7	500 MHz	7	2.74
1834	HMDB02005	QEFRNWWLZKMPFJ-UHFFFAOYSA-N	Water	7	500 MHz	3	3.02
1834	HMDB02005	QEFRNWWLZKMPFJ-UHFFFAOYSA-N	Water	7	500 MHz	5	3.87
1551	HMDB00808	WPSSBBPLVMTKRN-UHFFFAOYSA-N	Water	7	500 MHz	10	0.91
1551	HMDB00808	WPSSBBPLVMTKRN-UHFFFAOYSA-N	Water	7	500 MHz	9	1.61
1551	HMDB00808	WPSSBBPLVMTKRN-UHFFFAOYSA-N	Water	7	500 MHz	8	2.28
1551	HMDB00808	WPSSBBPLVMTKRN-UHFFFAOYSA-N	Water	7	500 MHz	4	3.94
1551	HMDB00808	WPSSBBPLVMTKRN-UHFFFAOYSA-N	Water	7	500 MHz	10	3.94
1093	HMDB00122	WQZGKKKJIJFFOK-GASJEMHNSA-N	Water	7	600 MHz	3	3.233
1093	HMDB00122	WQZGKKKJIJFFOK-GASJEMHNSA-N	Water	7	600 MHz	5	3.398
1093	HMDB00122	WQZGKKKJIJFFOK-GASJEMHNSA-N	Water	7	600 MHz	6	3.458
1093	HMDB00122	WQZGKKKJIJFFOK-GASJEMHNSA-N	Water	7	600 MHz	3	3.524
1093	HMDB00122	WQZGKKKJIJFFOK-GASJEMHNSA-N	Water	7	600 MHz	4	3.728
1093	HMDB00122	WQZGKKKJIJFFOK-GASJEMHNSA-N	Water	7	600 MHz	11	3.728
1093	HMDB00122	WQZGKKKJIJFFOK-GASJEMHNSA-N	Water	7	600 MHz	11	3.824
1093	HMDB00122	WQZGKKKJIJFFOK-GASJEMHNSA-N	Water	7	600 MHz	6	3.824
1093	HMDB00122	WQZGKKKJIJFFOK-GASJEMHNSA-N	Water	7	600 MHz	11	3.889
1093	HMDB00122	WQZGKKKJIJFFOK-GASJEMHNSA-N	Water	7	600 MHz	2	4.634
1093	HMDB00122	WQZGKKKJIJFFOK-GASJEMHNSA-N	Water	7	600 MHz	2	5.223
1132	HMDB00168	DCXYFEDJOCDNAF-REOHCLBHSA-N	Water	7	500 MHz	4	4
1132	HMDB00168	DCXYFEDJOCDNAF-REOHCLBHSA-N	Water	7	500 MHz	6	2.94
1132	HMDB00168	DCXYFEDJOCDNAF-REOHCLBHSA-N	Water	7	500 MHz	6	2.84
1850	HMDB02092	LVHBHZANLOWSRM-UHFFFAOYSA-N	Water	7	500 MHz	4	3.4
1850	HMDB02092	LVHBHZANLOWSRM-UHFFFAOYSA-N	Water	7	500 MHz	8	5.85
1850	HMDB02092	LVHBHZANLOWSRM-UHFFFAOYSA-N	Water	7	500 MHz	8	6.33
1605	HMDB00925	UYPYRKYUKCHHIB-UHFFFAOYSA-N	Water	7	500 MHz	3	3.25
1605	HMDB00925	UYPYRKYUKCHHIB-UHFFFAOYSA-N	Water	7	500 MHz	1	3.25
1605	HMDB00925	UYPYRKYUKCHHIB-UHFFFAOYSA-N	Water	7	500 MHz	4	3.25
1409	HMDB00535	FUZZWVXGSFPDMH-UHFFFAOYSA-N	Water	7	500 MHz	8	0.86
1409	HMDB00535	FUZZWVXGSFPDMH-UHFFFAOYSA-N	Water	7	500 MHz	7	1.28
1409	HMDB00535	FUZZWVXGSFPDMH-UHFFFAOYSA-N	Water	7	500 MHz	6	1.28
1409	HMDB00535	FUZZWVXGSFPDMH-UHFFFAOYSA-N	Water	7	500 MHz	5	1.54
1409	HMDB00535	FUZZWVXGSFPDMH-UHFFFAOYSA-N	Water	7	500 MHz	4	2.16
1482	HMDB00694	HWXBTNAVRSUOJR-VKHMYHEASA-N	Water	7	500 MHz	6	1.83
1482	HMDB00694	HWXBTNAVRSUOJR-VKHMYHEASA-N	Water	7	500 MHz	6	1.98
1482	HMDB00694	HWXBTNAVRSUOJR-VKHMYHEASA-N	Water	7	500 MHz	7	2.25
1482	HMDB00694	HWXBTNAVRSUOJR-VKHMYHEASA-N	Water	7	500 MHz	4	4.01
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	Water	7	500 MHz	52	2.32
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	Water	7	500 MHz	53	2.39
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	Water	7	500 MHz	31	3.89
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	Water	7	500 MHz	26	4.06
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	Water	7	500 MHz	25	4.33
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	Water	7	500 MHz	17	4.33
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	Water	7	500 MHz	5	4.33
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	Water	7	500 MHz	33	4.33
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	Water	7	500 MHz	4	4.46
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	Water	7	500 MHz	3	4.5
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	Water	7	500 MHz	2	5.82
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	Water	7	500 MHz	46	7.54
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	Water	7	500 MHz	49	7.6
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	Water	7	500 MHz	12	7.85
1668	HMDB01248	VWWQXMAJTJZDQX-UYBVJOGSSA-N	Water	7	500 MHz	7	8.3
2057	HMDB11749	XUWHAWMETYGRKB-UHFFFAOYSA-N	Water	7	500 MHz	3	1.75
2057	HMDB11749	XUWHAWMETYGRKB-UHFFFAOYSA-N	Water	7	500 MHz	4	1.75
2057	HMDB11749	XUWHAWMETYGRKB-UHFFFAOYSA-N	Water	7	500 MHz	5	2.32
2057	HMDB11749	XUWHAWMETYGRKB-UHFFFAOYSA-N	Water	7	500 MHz	2	3.28
1860	HMDB02176	WLAMNBDJUVNPJU-UHFFFAOYSA-N	Water	7	500 MHz	6	0.86
1860	HMDB02176	WLAMNBDJUVNPJU-UHFFFAOYSA-N	Water	7	500 MHz	7	1.07
1860	HMDB02176	WLAMNBDJUVNPJU-UHFFFAOYSA-N	Water	7	500 MHz	5	1.43
1860	HMDB02176	WLAMNBDJUVNPJU-UHFFFAOYSA-N	Water	7	500 MHz	5	1.53
1860	HMDB02176	WLAMNBDJUVNPJU-UHFFFAOYSA-N	Water	7	500 MHz	4	2.3
1149	HMDB00181	WTDRDQBEARUVNC-LURJTMIESA-N	Water	7	500 MHz	9	2.98
1149	HMDB00181	WTDRDQBEARUVNC-LURJTMIESA-N	Water	7	500 MHz	9	3.14
1149	HMDB00181	WTDRDQBEARUVNC-LURJTMIESA-N	Water	7	500 MHz	10	3.92
1149	HMDB00181	WTDRDQBEARUVNC-LURJTMIESA-N	Water	7	500 MHz	4	6.72
1149	HMDB00181	WTDRDQBEARUVNC-LURJTMIESA-N	Water	7	500 MHz	6	6.82
1149	HMDB00181	WTDRDQBEARUVNC-LURJTMIESA-N	Water	7	500 MHz	3	6.89
1755	HMDB01851	HEBKCHPVOIAQTA-IMJSIDKUSA-N	Water	7	500 MHz	5	3.57
1755	HMDB01851	HEBKCHPVOIAQTA-IMJSIDKUSA-N	Water	7	500 MHz	2	3.66
1755	HMDB01851	HEBKCHPVOIAQTA-IMJSIDKUSA-N	Water	7	500 MHz	3	3.75
1755	HMDB01851	HEBKCHPVOIAQTA-IMJSIDKUSA-N	Water	7	500 MHz	9	3.83
1755	HMDB01851	HEBKCHPVOIAQTA-IMJSIDKUSA-N	Water	7	500 MHz	7	3.93
1743	HMDB01713	KKSDGJDHHZEWEP-SNAWJCMRSA-N	Water	6.9	500 MHz	9	6.48
1743	HMDB01713	KKSDGJDHHZEWEP-SNAWJCMRSA-N	Water	6.9	500 MHz	2	6.91
1743	HMDB01713	KKSDGJDHHZEWEP-SNAWJCMRSA-N	Water	6.9	500 MHz	6	7.08
1743	HMDB01713	KKSDGJDHHZEWEP-SNAWJCMRSA-N	Water	6.9	500 MHz	4	7.16
1743	HMDB01713	KKSDGJDHHZEWEP-SNAWJCMRSA-N	Water	6.9	500 MHz	3	7.33
1743	HMDB01713	KKSDGJDHHZEWEP-SNAWJCMRSA-N	Water	6.9	500 MHz	8	7.33
1737	HMDB01586	HXXFSFRBOHSIMQ-GASJEMHNSA-N	Water	7	500 MHz	2	5.45
1737	HMDB01586	HXXFSFRBOHSIMQ-GASJEMHNSA-N	Water	7	500 MHz	3	3.91
1737	HMDB01586	HXXFSFRBOHSIMQ-GASJEMHNSA-N	Water	7	500 MHz	13	3.87
1737	HMDB01586	HXXFSFRBOHSIMQ-GASJEMHNSA-N	Water	7	500 MHz	4	3.75
1737	HMDB01586	HXXFSFRBOHSIMQ-GASJEMHNSA-N	Water	7	500 MHz	6	3.48
1737	HMDB01586	HXXFSFRBOHSIMQ-GASJEMHNSA-N	Water	7	500 MHz	5	3.39
1316	HMDB00292	LRFVTYWOQMYALW-UHFFFAOYSA-N	Water	7	500 MHz	2	7.89
1680	HMDB01311	JVTAAEKCZFNVCJ-UWTATZPHSA-N	Water	7	500 MHz	6	1.4
1404	HMDB00517	ODKSFYDXXFIFQN-BYPYZUCNSA-N	Water	7	500 MHz	7	1.68
1404	HMDB00517	ODKSFYDXXFIFQN-BYPYZUCNSA-N	Water	7	500 MHz	6	1.9
1404	HMDB00517	ODKSFYDXXFIFQN-BYPYZUCNSA-N	Water	7	500 MHz	8	3.23
1404	HMDB00517	ODKSFYDXXFIFQN-BYPYZUCNSA-N	Water	7	500 MHz	4	3.76
1477	HMDB00687	ROHFNLRQFUQHCH-YFKPBYRVSA-N	Water	7	500 MHz	8	0.948
1477	HMDB00687	ROHFNLRQFUQHCH-YFKPBYRVSA-N	Water	7	500 MHz	9	0.948
1477	HMDB00687	ROHFNLRQFUQHCH-YFKPBYRVSA-N	Water	7	500 MHz	7	1.7
1477	HMDB00687	ROHFNLRQFUQHCH-YFKPBYRVSA-N	Water	7	500 MHz	6	1.7
1477	HMDB00687	ROHFNLRQFUQHCH-YFKPBYRVSA-N	Water	7	500 MHz	4	3.722
1344	HMDB00357	WHBMMWSBFZVSSR-UHFFFAOYSA-N	Water	7	500 MHz	3	1.204
1344	HMDB00357	WHBMMWSBFZVSSR-UHFFFAOYSA-N	Water	7	500 MHz	4	2.314
1344	HMDB00357	WHBMMWSBFZVSSR-UHFFFAOYSA-N	Water	7	500 MHz	4	2.414
1344	HMDB00357	WHBMMWSBFZVSSR-UHFFFAOYSA-N	Water	7	500 MHz	2	4.16
1142	HMDB00175	GRSZFWQUAKGDAV-KQYNXXCUSA-N	Water	7	500 MHz	17	4.02
1142	HMDB00175	GRSZFWQUAKGDAV-KQYNXXCUSA-N	Water	7	500 MHz	5	4.36
1142	HMDB00175	GRSZFWQUAKGDAV-KQYNXXCUSA-N	Water	7	500 MHz	4	4.5
1142	HMDB00175	GRSZFWQUAKGDAV-KQYNXXCUSA-N	Water	7	500 MHz	2	6.13
1142	HMDB00175	GRSZFWQUAKGDAV-KQYNXXCUSA-N	Water	7	500 MHz	12	8.21
1142	HMDB00175	GRSZFWQUAKGDAV-KQYNXXCUSA-N	Water	7	500 MHz	7	8.55
1200	HMDB00211	CDAISMWEOUEBRE-GPIVLXJGSA-N	Water	7	600 MHz	2	3.268
1200	HMDB00211	CDAISMWEOUEBRE-GPIVLXJGSA-N	Water	7	600 MHz	6	3.524
1200	HMDB00211	CDAISMWEOUEBRE-GPIVLXJGSA-N	Water	7	600 MHz	4	3.524
1200	HMDB00211	CDAISMWEOUEBRE-GPIVLXJGSA-N	Water	7	600 MHz	3	3.613
1200	HMDB00211	CDAISMWEOUEBRE-GPIVLXJGSA-N	Water	7	600 MHz	1	3.613
1200	HMDB00211	CDAISMWEOUEBRE-GPIVLXJGSA-N	Water	7	600 MHz	5	4.053
1762	HMDB01860	QUNWUDVFRNGTCO-UHFFFAOYSA-N	Water	7	500 MHz	12	3.32
1762	HMDB01860	QUNWUDVFRNGTCO-UHFFFAOYSA-N	Water	7	500 MHz	10	4.03
1762	HMDB01860	QUNWUDVFRNGTCO-UHFFFAOYSA-N	Water	7	500 MHz	2	8.34
1363	HMDB00423	DZAUWHJDUNRCTF-UHFFFAOYSA-N	Water	7	600 MHz	3	6.89
1363	HMDB00423	DZAUWHJDUNRCTF-UHFFFAOYSA-N	Water	7	600 MHz	6	6.82
1363	HMDB00423	DZAUWHJDUNRCTF-UHFFFAOYSA-N	Water	7	600 MHz	4	6.72
1363	HMDB00423	DZAUWHJDUNRCTF-UHFFFAOYSA-N	Water	7	600 MHz	10	3.92
1363	HMDB00423	DZAUWHJDUNRCTF-UHFFFAOYSA-N	Water	7	600 MHz	9	3.14
1363	HMDB00423	DZAUWHJDUNRCTF-UHFFFAOYSA-N	Water	7	600 MHz	9	2.98
2056	HMDB11745	XUYPXLNMDZIRQH-UHFFFAOYSA-N	Water	7	500 MHz	4	1.97
2056	HMDB11745	XUYPXLNMDZIRQH-UHFFFAOYSA-N	Water	7	500 MHz	11	2.03
2056	HMDB11745	XUYPXLNMDZIRQH-UHFFFAOYSA-N	Water	7	500 MHz	2	2.1
2056	HMDB11745	XUYPXLNMDZIRQH-UHFFFAOYSA-N	Water	7	500 MHz	4	2.13
2056	HMDB11745	XUYPXLNMDZIRQH-UHFFFAOYSA-N	Water	7	500 MHz	3	2.57
2056	HMDB11745	XUYPXLNMDZIRQH-UHFFFAOYSA-N	Water	7	500 MHz	5	4.37
2056	HMDB11745	XUYPXLNMDZIRQH-UHFFFAOYSA-N	Water	7	500 MHz	6	8.17
1929	HMDB03134	BAQMYDQNMFBZNA-MNXVOIDGSA-N	Water	7	500 MHz	3	4.61
1929	HMDB03134	BAQMYDQNMFBZNA-MNXVOIDGSA-N	Water	7	500 MHz	7	4.42
1929	HMDB03134	BAQMYDQNMFBZNA-MNXVOIDGSA-N	Water	7	500 MHz	21	3.72
1929	HMDB03134	BAQMYDQNMFBZNA-MNXVOIDGSA-N	Water	7	500 MHz	8	3.34
1929	HMDB03134	BAQMYDQNMFBZNA-MNXVOIDGSA-N	Water	7	500 MHz	17	3.19
1929	HMDB03134	BAQMYDQNMFBZNA-MNXVOIDGSA-N	Water	7	500 MHz	2	3
1929	HMDB03134	BAQMYDQNMFBZNA-MNXVOIDGSA-N	Water	7	500 MHz	2	2.78
1929	HMDB03134	BAQMYDQNMFBZNA-MNXVOIDGSA-N	Water	7	500 MHz	13	2.25
1929	HMDB03134	BAQMYDQNMFBZNA-MNXVOIDGSA-N	Water	7	500 MHz	20	1.86
1929	HMDB03134	BAQMYDQNMFBZNA-MNXVOIDGSA-N	Water	7	500 MHz	10	1.72
1929	HMDB03134	BAQMYDQNMFBZNA-MNXVOIDGSA-N	Water	7	500 MHz	12	1.62
1929	HMDB03134	BAQMYDQNMFBZNA-MNXVOIDGSA-N	Water	7	500 MHz	10	1.55
1929	HMDB03134	BAQMYDQNMFBZNA-MNXVOIDGSA-N	Water	7	500 MHz	11	1.55
1929	HMDB03134	BAQMYDQNMFBZNA-MNXVOIDGSA-N	Water	7	500 MHz	18	1.55
1929	HMDB03134	BAQMYDQNMFBZNA-MNXVOIDGSA-N	Water	7	500 MHz	19	1.4
1929	HMDB03134	BAQMYDQNMFBZNA-MNXVOIDGSA-N	Water	7	500 MHz	11	1.4
1581	HMDB00881	FBZONXHGGPHHIY-UHFFFAOYSA-N	Water	7	500 MHz	6	7.37
1581	HMDB00881	FBZONXHGGPHHIY-UHFFFAOYSA-N	Water	7	500 MHz	7	7.16
1581	HMDB00881	FBZONXHGGPHHIY-UHFFFAOYSA-N	Water	7	500 MHz	8	6.99
1581	HMDB00881	FBZONXHGGPHHIY-UHFFFAOYSA-N	Water	7	500 MHz	3	6.71
1025	HMDB00008	AFENDNXGAFYKQO-UHFFFAOYSA-N	Water	7.02	600 MHz	4	0.886
1025	HMDB00008	AFENDNXGAFYKQO-UHFFFAOYSA-N	Water	7.02	600 MHz	3	1.641
1025	HMDB00008	AFENDNXGAFYKQO-UHFFFAOYSA-N	Water	7.02	600 MHz	3	1.734
1025	HMDB00008	AFENDNXGAFYKQO-UHFFFAOYSA-N	Water	7.02	600 MHz	2	3.99
1858	HMDB02141	DLAMVQGYEVKIRE-UHFFFAOYSA-N	Water	7	500 MHz	8	1.59
1858	HMDB02141	DLAMVQGYEVKIRE-UHFFFAOYSA-N	Water	7	500 MHz	7	1.59
1858	HMDB02141	DLAMVQGYEVKIRE-UHFFFAOYSA-N	Water	7	500 MHz	6	3.84
1809	HMDB01930	VMXUWOKSQNHOCA-UKTHLTGXSA-N	Water	7	500 MHz	13	2.85
1809	HMDB01930	VMXUWOKSQNHOCA-UKTHLTGXSA-N	Water	7	500 MHz	16	2.85
1809	HMDB01930	VMXUWOKSQNHOCA-UKTHLTGXSA-N	Water	7	500 MHz	20	2.85
1809	HMDB01930	VMXUWOKSQNHOCA-UKTHLTGXSA-N	Water	7	500 MHz	8	2.91
1809	HMDB01930	VMXUWOKSQNHOCA-UKTHLTGXSA-N	Water	7	500 MHz	9	3.45
1809	HMDB01930	VMXUWOKSQNHOCA-UKTHLTGXSA-N	Water	7	500 MHz	6	3.85
1809	HMDB01930	VMXUWOKSQNHOCA-UKTHLTGXSA-N	Water	7	500 MHz	14	4.33
1809	HMDB01930	VMXUWOKSQNHOCA-UKTHLTGXSA-N	Water	7	500 MHz	3	6.39
1809	HMDB01930	VMXUWOKSQNHOCA-UKTHLTGXSA-N	Water	7	500 MHz	4	6.66
1809	HMDB01930	VMXUWOKSQNHOCA-UKTHLTGXSA-N	Water	7	500 MHz	17	6.85
1730	HMDB01547	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	Water	7	600 MHz	19	0.81
1730	HMDB01547	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	Water	7	600 MHz	19	0.82
1730	HMDB01547	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	Water	7	600 MHz	4	1.15
1730	HMDB01547	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	Water	7	600 MHz	2	1.17
1730	HMDB01547	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	Water	7	600 MHz	14	1.17
1730	HMDB01547	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	Water	7	600 MHz	15	1.37
1730	HMDB01547	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	Water	7	600 MHz	20	1.38
1730	HMDB01547	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	Water	7	600 MHz	6	1.66
1730	HMDB01547	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	Water	7	600 MHz	16	1.76
1730	HMDB01547	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	Water	7	600 MHz	15	1.76
1730	HMDB01547	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	Water	7	600 MHz	8	1.76
1730	HMDB01547	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	Water	7	600 MHz	3	1.93
1730	HMDB01547	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	Water	7	600 MHz	14	1.93
1730	HMDB01547	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	Water	7	600 MHz	6	2.07
1730	HMDB01547	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	Water	7	600 MHz	8	2.15
1730	HMDB01547	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	Water	7	600 MHz	16	2.3
1730	HMDB01547	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	Water	7	600 MHz	13	2.38
1730	HMDB01547	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	Water	7	600 MHz	9	2.56
1730	HMDB01547	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	Water	7	600 MHz	17	2.56
1730	HMDB01547	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	Water	7	600 MHz	9	2.94
1730	HMDB01547	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	Water	7	600 MHz	13	2.94
1730	HMDB01547	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	Water	7	600 MHz	24	4.32
1730	HMDB01547	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	Water	7	600 MHz	11	5.76
1573	HMDB00863	KFZMGEQAYNKOFK-UHFFFAOYSA-N	Water	7.2	500 MHz	4	1.162
1573	HMDB00863	KFZMGEQAYNKOFK-UHFFFAOYSA-N	Water	7.2	500 MHz	3	1.162
1573	HMDB00863	KFZMGEQAYNKOFK-UHFFFAOYSA-N	Water	7.2	500 MHz	2	4.012
1721	HMDB01520	FVTCRASFADXXNN-SCRDCRAPSA-N	Water	7	500 MHz	20	2.39
1721	HMDB01520	FVTCRASFADXXNN-SCRDCRAPSA-N	Water	7	500 MHz	21	2.52
1721	HMDB01520	FVTCRASFADXXNN-SCRDCRAPSA-N	Water	7	500 MHz	22	3.89
1721	HMDB01520	FVTCRASFADXXNN-SCRDCRAPSA-N	Water	7	500 MHz	24	3.89
1721	HMDB01520	FVTCRASFADXXNN-SCRDCRAPSA-N	Water	7	500 MHz	26	4.07
1721	HMDB01520	FVTCRASFADXXNN-SCRDCRAPSA-N	Water	7	500 MHz	18	4.3
1721	HMDB01520	FVTCRASFADXXNN-SCRDCRAPSA-N	Water	7	500 MHz	17	4.41
1721	HMDB01520	FVTCRASFADXXNN-SCRDCRAPSA-N	Water	7	500 MHz	11	7.64
1721	HMDB01520	FVTCRASFADXXNN-SCRDCRAPSA-N	Water	7	500 MHz	14	7.8
2058	HMDB11751	BJJQJLOZWBZEGA-UHFFFAOYSA-N	Water	7	500 MHz	10	2.58
2058	HMDB11751	BJJQJLOZWBZEGA-UHFFFAOYSA-N	Water	7	500 MHz	9	2.89
2058	HMDB11751	BJJQJLOZWBZEGA-UHFFFAOYSA-N	Water	7	500 MHz	8	3.82
2058	HMDB11751	BJJQJLOZWBZEGA-UHFFFAOYSA-N	Water	7	500 MHz	4	6.88
2058	HMDB11751	BJJQJLOZWBZEGA-UHFFFAOYSA-N	Water	7	500 MHz	6	6.88
2058	HMDB11751	BJJQJLOZWBZEGA-UHFFFAOYSA-N	Water	7	500 MHz	2	6.88
2058	HMDB11751	BJJQJLOZWBZEGA-UHFFFAOYSA-N	Water	7	500 MHz	3	7.3
1095	HMDB00124	GSXOAOHZAIYLCY-HSUXUTPPSA-N	Water	7	500 MHz	20	4.23
1095	HMDB00124	GSXOAOHZAIYLCY-HSUXUTPPSA-N	Water	7	500 MHz	19	4.11
1095	HMDB00124	GSXOAOHZAIYLCY-HSUXUTPPSA-N	Water	7	500 MHz	4	4.11
1095	HMDB00124	GSXOAOHZAIYLCY-HSUXUTPPSA-N	Water	7	500 MHz	27	3.92
1095	HMDB00124	GSXOAOHZAIYLCY-HSUXUTPPSA-N	Water	7	500 MHz	11	3.92
1095	HMDB00124	GSXOAOHZAIYLCY-HSUXUTPPSA-N	Water	7	500 MHz	3	3.92
1095	HMDB00124	GSXOAOHZAIYLCY-HSUXUTPPSA-N	Water	7	500 MHz	5	3.92
